var,desc
B008,Environment vs. Growth
C001,Men Have More Rights to Jobs Than Women
C002,"Jobs to Nation, Not to Immigrants"
D059,Gender Norms in Politics
E018,Greater Respect for Authority is Good
E033,Self-Positioning in Political Ideology
E035,Income Equality
E036,Private vs. State Ownership of Business
E037,Government Responsibilities
E039,Competition Good or Harmful
E114,Attachment to Strong Leaders
E115,Democracy Needs Expert Decisions
E224,Tax the Rich and Subsidize the Poor
E225,Religious Authorities and Theocracy
E226,Democracy and Free Elections
E227,State Aid for Unemployment
E229,Civil Rights Against Oppression
E233,Women Should Have Same Rights As Man
E233A,The State Provides Equal Income
E233B,Democracy Means Obeying Rulers
F034,Importance of Religion in R's Life
F118,Justifiable: Homosexuality
F120,Justifiable: Abortion
F144_02,Justifiable: Death Penalty
G052,Impact of Immigrants on Development
H009,Government Monitoring: Surveillance
H010,Government Monitoring: Internet
H011,Government Monitoring: Information
G007_35_B,Trusting People of Another Religion
G007_36_B,Trusting People of Another Nationality
